23:10:19, уставка 50.0-57.0, текущая темп. 59.4, охл. ВКЛ., нагр. ВЫКЛ.
23:10:20, уставка 50.0-57.0, текущая темп. 59.4, охл. ВКЛ., нагр. ВЫКЛ.
23:10:21, уставка 50.0-57.0, текущая темп. 59.4, охл. ВКЛ., нагр. ВЫКЛ.
23:10:22, уставка 50.0-57.0, текущая темп. 60.8, охл. ВКЛ., нагр. ВЫКЛ.
23:10:23, уставка 50.0-57.0, текущая темп. 60.8, охл. ВКЛ., нагр. ВЫКЛ.
23:10:24, уставка 50.0-57.0, текущая темп. 60.8, охл. ВКЛ., нагр. ВЫКЛ.
23:10:25, уставка 50.0-57.0, текущая темп. 61.8, охл. ВКЛ., нагр. ВЫКЛ.
23:10:26, уставка 50.0-57.0, текущая темп. 61.8, охл. ВКЛ., нагр. ВЫКЛ.
23:10:27, уставка 50.0-57.0, текущая темп. 61.6, охл. ВКЛ., нагр. ВЫКЛ.
23:10:28, уставка 50.0-57.0, текущая темп. 61.6, охл. ВКЛ., нагр. ВЫКЛ.
23:10:29, уставка 50.0-57.0, текущая темп. 60.7, охл. ВКЛ., нагр. ВЫКЛ.
23:10:30, уставка 50.0-57.0, текущая темп. 60.7, охл. ВКЛ., нагр. ВЫКЛ.
23:10:31, уставка 50.0-57.0, текущая темп. 60.7, охл. ВКЛ., нагр. ВЫКЛ.
23:10:32, уставка 50.0-57.0, текущая темп. 59.6, охл. ВКЛ., нагр. ВЫКЛ.
23:10:33, уставка 50.0-57.0, текущая темп. 59.6, охл. ВКЛ., нагр. ВЫКЛ.
23:10:34, уставка 50.0-57.0, текущая темп. 59.6, охл. ВКЛ., нагр. ВЫКЛ.


23:24:43, уставка 50.0-57.0, текущая темп. 49.3, охл. ВЫКЛ., нагр. ВКЛ.
23:24:44, уставка 50.0-57.0, текущая темп. 49.3, охл. ВЫКЛ., нагр. ВКЛ.
